Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Tackles + internceptions,Clearances,Errors
Pedro Porro, ESP,"DF,MF",Sporting CP,22,1999,4.4,14,10,9,3,2,11,14,78.6,3,7,1,6,4,18,12,0
Pedro Porro, ESP,DF,Tottenham,22,1999,0.4,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,0,0
Yussuf Poulsen, DEN,"FW,MF",RB Leipzig,28,1994,0.8,1,0,0,1,0,1,3,33.3,2,3,0,3,0,1,1,0
Christian Pulisic, USA,"DF,FW",Chelsea,23,1998,1.3,2,1,0,1,1,1,2,50.0,1,2,0,2,2,4,0,0
Adrien Rabiot, FRA,MF,Juventus,27,1995,5.0,16,8,7,7,2,6,8,75.0,2,9,2,7,5,21,3,0
Ivan Rakitić, CRO,MF,Sevilla,34,1988,4.6,9,4,2,4,3,2,8,25.0,6,5,2,3,4,13,3,0
Gonçalo Ramos, POR,FW,Benfica,21,2001,7.9,11,5,0,7,4,0,5,0.0,5,5,1,4,1,12,10,0
Sergio Ramos, ESP,DF,Paris S-G,36,1986,8.0,9,5,3,6,0,7,11,63.6,4,11,6,5,11,20,25,0
Calvin Ramsay, SCO,DF,Liverpool,19,2003,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Raphinha, BRA,FW,Barcelona,25,1996,3.3,8,7,3,3,2,2,6,33.3,4,4,1,3,4,12,3,0
Giacomo Raspadori, ITA,FW,Napoli,22,2000,2.8,4,3,0,3,1,0,1,0.0,1,1,0,1,2,6,1,0
David Raum, GER,DF,RB Leipzig,24,1998,5.9,13,7,8,4,1,10,22,45.5,12,7,1,6,7,20,15,0
Ante Rebić, CRO,"FW,MF",Milan,28,1993,2.8,7,3,2,3,2,2,6,33.3,4,2,0,2,1,8,0,0
Matheus Reis, BRA,DF,Sporting CP,27,1995,5.7,10,7,5,5,0,6,7,85.7,1,4,2,2,3,13,17,0
Karim Rekik, NED,DF,Sevilla,27,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Devyne Rensch, NED,DF,Ajax,19,2003,3.2,14,9,8,6,0,11,14,78.6,3,4,0,4,4,18,10,0
Marco Reus, GER,"MF,FW",Dortmund,33,1989,2.9,4,2,1,1,2,1,4,25.0,3,4,1,3,3,7,1,0
Gio Reyna, USA,"FW,MF",Dortmund,19,2002,4.3,3,2,0,2,1,1,5,20.0,4,2,0,2,3,6,2,1
Richarlison, BRA,"MF,FW",Tottenham,25,1997,4.1,3,1,1,2,0,3,5,60.0,2,4,2,2,2,5,0,0
Stefan Ristovski, MKD,DF,Dinamo Zagreb,30,1992,4.1,6,2,4,1,1,2,6,33.3,4,7,4,3,6,12,8,0
Mats Rits, BEL,MF,Club Brugge,29,1993,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0
Sergi Roberto, ESP,DF,Barcelona,30,1992,2.3,5,1,2,3,0,3,4,75.0,1,2,0,2,4,9,1,0
Andrew Robertson, SCO,DF,Liverpool,28,1994,4.2,2,0,1,1,0,1,4,25.0,3,2,0,2,2,4,5,0
Rochinha, POR,"MF,FW",Sporting CP,27,1995,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,3.3,11,5,4,7,0,2,7,28.6,5,2,0,2,3,14,2,0
Rodri, ESP,MF,Manchester City,26,1996,11.1,24,15,13,9,2,12,17,70.6,5,11,3,8,13,37,9,1
Rodrygo, BRA,FW,Real Madrid,21,2001,9.1,7,3,3,3,1,3,8,37.5,5,13,4,9,9,16,6,0
Cristian Romero, ARG,DF,Tottenham,24,1998,6.6,14,9,3,10,1,9,17,52.9,8,7,3,4,10,24,12,0
Valentin Rongier, FRA,MF,Marseille,27,1994,5.2,15,6,7,7,1,5,6,83.3,1,3,0,3,8,23,5,0
Tom Rothe, GER,DF,Dortmund,17,2004,0.7,0,0,0,0,0,0,0,,0,4,1,3,1,1,4,0
Amir Rrahmani, KVX,DF,Napoli,28,1994,6.8,9,6,6,2,1,5,9,55.6,4,9,4,5,2,11,27,1
Antonio Rüdiger, GER,DF,Real Madrid,29,1993,7.5,10,6,5,5,0,6,6,100.0,0,7,2,5,6,16,26,0
Daniele Rugani, ITA,DF,Juventus,28,1994,1.0,2,2,0,2,0,1,1,100.0,0,2,1,1,3,5,4,0
Mário Rui, POR,DF,Napoli,31,1991,4.3,6,6,5,0,1,3,9,33.3,6,4,2,2,7,13,4,0
Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,2.6,5,1,2,1,2,3,9,33.3,6,3,0,3,1,6,4,0
Nikita Rukavytsya, AUS,"FW,MF",Maccabi Haifa,35,1987,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Julian Ryerson, NOR,DF,Dortmund,24,1997,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,4,1
Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,3.1,10,8,7,2,1,5,7,71.4,2,4,1,3,5,15,3,0
Alexis Saelemaekers, BEL,"FW,DF",Milan,23,1999,4.1,7,4,4,2,1,4,11,36.4,7,3,0,3,4,11,7,0
Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,2.6,4,3,1,3,0,3,4,75.0,1,1,0,1,2,6,1,0
Mohamed Salah, EGY,FW,Liverpool,30,1992,6.9,3,1,2,1,0,2,5,40.0,3,3,0,3,2,5,1,0
Renato Sanches, POR,MF,Paris S-G,24,1997,1.6,3,0,2,1,0,2,3,66.7,1,3,1,2,1,4,0,0
Alexis Sánchez, CHI,FW,Marseille,33,1988,4.6,7,3,0,6,1,0,0,,0,3,0,3,0,7,0,0
Davinson Sánchez, COL,DF,Tottenham,26,1996,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0
Cisse Sandra, BEL,FW,Club Brugge,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Alex Sandro, BRA,DF,Juventus,31,1991,2.7,3,2,2,1,0,0,0,,0,2,0,2,5,8,6,0
James Sands, USA,"DF,MF",Rangers,22,2000,3.6,5,3,1,4,0,1,1,100.0,0,2,1,1,4,9,9,0
Leroy Sané, GER,"FW,MF",Bayern Munich,26,1996,6.1,10,7,0,5,5,4,9,44.4,5,4,0,4,6,16,0,0
Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,3.3,7,5,7,0,0,6,7,85.7,1,4,1,3,2,9,8,0
Zaidu Sanusi, NGA,DF,Porto,25,1997,6.5,13,9,8,4,1,6,9,66.7,3,6,1,5,11,24,20,0
Alvaro Sanz, ESP,MF,Barcelona,21,2001,0.2,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0
Pablo Sarabia, ESP,MF,Paris S-G,30,1992,1.0,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0
Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3.0,3,1,2,0,1,2,3,66.7,1,1,0,1,2,5,7,0
Patrik Schick, CZE,FW,Leverkusen,26,1996,5.0,2,2,0,1,1,0,2,0.0,2,3,0,3,1,3,3,0
Andreas Schjelderup, NOR,FW,Benfica,18,2004,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Xaver Schlager, AUT,MF,RB Leipzig,24,1997,6.5,11,7,4,7,0,7,12,58.3,5,12,3,9,5,16,2,1
Nico Schlotterbeck, GER,DF,Dortmund,22,1999,6.2,10,8,6,4,0,4,7,57.1,3,5,3,2,3,13,16,1
Abdoulaye Seck, SEN,DF,Maccabi Haifa,30,1992,4.4,7,7,6,0,1,5,7,71.4,2,9,5,4,4,11,18,0
Nicolas Seiwald, AUT,MF,RB Salzburg,21,2001,6.0,19,14,13,5,1,9,15,60.0,6,14,3,11,8,27,5,0
Benjamin Šeško, SVN,FW,RB Salzburg,19,2003,3.7,3,1,0,1,2,1,1,100.0,0,4,1,3,0,3,2,0
Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,1.7,9,7,4,3,2,2,4,50.0,2,1,0,1,2,11,8,1
Maryan Shved, UKR,MF,Shakhtar,25,1997,2.1,6,2,4,2,0,3,7,42.9,4,4,0,4,4,10,2,0
Danylo Sikan, UKR,FW,Shakhtar,21,2001,1.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
André Silva, POR,FW,RB Leipzig,26,1995,5.9,6,3,2,1,3,3,4,75.0,1,7,0,7,1,7,1,0
António Silva, POR,DF,Benfica,18,2003,9.9,11,7,9,2,0,7,11,63.6,4,13,4,9,14,25,34,0
Bernardo Silva, POR,"FW,MF",Manchester City,27,1994,10.1,19,10,4,8,7,10,32,31.3,22,11,0,11,9,28,5,0
Rafa Silva, POR,MF,Benfica,29,1993,9.1,11,5,2,5,4,7,14,50.0,7,7,1,6,1,12,0,0
Thiago Silva, BRA,DF,Chelsea,37,1984,7.1,8,6,6,1,1,3,4,75.0,1,8,6,2,9,17,32,0
Mohamed Simakan, FRA,DF,RB Leipzig,22,2000,5.7,16,9,5,9,2,10,17,58.8,7,2,0,2,12,28,7,0
Giovanni Simeone, ARG,FW,Napoli,27,1995,2.9,3,2,0,2,1,1,2,50.0,1,3,0,3,0,3,2,0
Roko Simic, CRO,FW,RB Salzburg,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Oliver Skipp, ENG,MF,Tottenham,21,2000,2.3,8,4,2,6,0,4,9,44.4,5,4,0,4,2,10,4,0
Leo Skiri Østigård, NOR,DF,Napoli,22,1999,2.2,3,2,1,2,0,1,2,50.0,1,4,1,3,2,5,13,0
Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,3.3,4,2,1,2,1,2,3,66.7,1,2,0,2,0,4,3,0
Milan Škriniar, SVK,DF,Inter,27,1995,6.0,9,6,7,2,0,4,5,80.0,1,11,9,2,4,13,24,0
Hrvoje Smolčić, CRO,DF,Eint Frankfurt,21,2000,1.4,1,1,1,0,0,0,0,,0,2,0,2,5,6,12,0
Eduard Sobol, UKR,"FW,DF",Club Brugge,27,1995,1.2,3,1,3,0,0,2,3,66.7,1,1,0,1,2,5,3,0
Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,4,4,2,0,2,1,2,50.0,1,1,0,1,3,7,1,0
Oumar Solet, FRA,DF,RB Salzburg,22,2000,3.0,5,4,3,1,1,2,2,100.0,0,7,3,4,3,8,13,0
Yann Sommer, SUI,GK,Bayern Munich,33,1988,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,1
Matìas Soulé, ARG,"MF,FW",Juventus,19,2003,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Djibril Sow, SUI,MF,Eint Frankfurt,25,1997,8.0,14,8,4,8,2,7,12,58.3,5,10,1,9,18,32,3,0
Kamal Sowah, GHA,"FW,MF",Club Brugge,22,2000,6.6,12,7,6,5,1,3,7,42.9,4,3,0,3,4,16,5,1
Dario Špikić, CRO,"FW,DF",Dinamo Zagreb,23,1999,1.9,2,1,0,1,1,0,1,0.0,1,4,2,2,4,6,0,0
Jorne Spileers, BEL,DF,Club Brugge,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Jerry St. Juste, NED,DF,Sporting CP,25,1996,2.1,8,5,5,2,1,2,3,66.7,1,2,0,2,7,15,6,0
Marko Stamenic, NZL,MF,FC Copenhagen,20,2002,3.0,3,1,1,1,1,1,6,16.7,5,8,2,6,3,6,2,0
Jindřich Staněk, CZE,GK,Viktoria Plzeň,26,1996,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Josip Stanišić, CRO,DF,Bayern Munich,22,2000,3.9,10,7,6,3,1,8,10,80.0,2,7,1,6,4,14,7,1
Carl Starfelt, SWE,DF,Celtic,27,1995,1.0,0,0,0,0,0,0,0,,0,3,3,0,0,0,5,0
Orri Steinn Óskarsson, ISL,"MF,FW",FC Copenhagen,17,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Taras Stepanenko, UKR,MF,Shakhtar,32,1989,5.9,18,11,12,5,1,10,28,35.7,18,2,1,1,12,30,21,1
Raheem Sterling, ENG,"FW,MF",Chelsea,27,1994,7.0,8,2,3,4,1,3,9,33.3,6,3,0,3,0,8,2,0
John Stones, ENG,"MF,DF",Manchester City,28,1994,7.6,2,2,2,0,0,1,3,33.3,2,6,4,2,4,6,10,0
Luka Sučić, CRO,MF,RB Salzburg,19,2002,4.4,5,3,1,1,3,3,10,30.0,7,9,1,8,4,9,3,0
Heorhii Sudakov, UKR,MF,Shakhtar,19,2002,5.3,9,6,7,1,1,4,7,57.1,3,1,0,1,6,15,5,1
Niklas Süle, GER,DF,Dortmund,26,1995,7.5,5,5,5,0,0,3,7,42.9,4,9,6,3,6,11,25,0
Daniel Sundgren, SWE,DF,Maccabi Haifa,31,1990,3.6,12,8,9,3,0,8,11,72.7,3,7,4,3,5,17,11,0
Suso, ESP,"FW,MF",Sevilla,28,1993,2.6,3,2,0,2,1,0,4,0.0,4,2,1,1,1,4,1,0
Josip Šutalo, CRO,DF,Dinamo Zagreb,22,2000,6.0,12,6,11,1,0,6,8,75.0,2,12,6,6,9,21,27,0
Jan Sýkora, CZE,"FW,DF",Viktoria Plzeň,28,1993,1.6,0,0,0,0,0,0,2,0.0,2,0,0,0,3,3,3,0
Abakar Sylla, CIV,DF,Club Brugge,19,2002,5.5,6,2,5,1,0,3,3,100.0,0,7,5,2,7,13,17,1
Wojciech Szczęsny, POL,GK,Juventus,32,1990,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0
Dominik Szoboszlai, HUN,FW,RB Leipzig,21,2000,7.3,8,6,3,4,1,4,16,25.0,12,8,0,8,1,9,4,0
Christian Sørensen, DEN,"DF,MF",FC Copenhagen,29,1992,1.1,1,1,0,0,1,1,2,50.0,1,0,0,0,2,3,1,0
Dušan Tadić, SRB,FW,Ajax,33,1988,4.8,6,3,1,3,2,4,8,50.0,4,8,1,7,0,6,5,0
Jonathan Tah, GER,DF,Leverkusen,26,1996,5.3,8,6,3,5,0,4,8,50.0,4,8,5,3,2,10,26,0
Japhet Tanganga, ENG,DF,Tottenham,23,1999,0.2,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Edmond Tapsoba, BFA,DF,Leverkusen,23,1999,3.9,6,5,4,2,0,4,5,80.0,1,2,1,1,4,10,18,0
Mehdi Taremi, IRN,FW,Porto,30,1992,6.8,8,6,0,3,5,4,11,36.4,7,6,0,6,1,9,10,0
Ciprian Tătărușanu, ROU,GK,Milan,36,1986,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0
Nuno Tavares, POR,DF,Marseille,22,2000,6.0,11,8,2,4,5,4,9,44.4,5,9,3,6,4,15,7,0
James Tavernier, ENG,DF,Rangers,30,1991,5.4,11,5,6,5,0,8,11,72.7,3,7,4,3,6,17,13,1
Greg Taylor, SCO,DF,Celtic,24,1997,6.0,14,9,4,7,3,9,12,75.0,3,8,4,4,7,21,6,0
Kenneth Taylor, NED,MF,Ajax,20,2002,4.6,6,3,3,3,0,3,6,50.0,3,4,0,4,4,10,3,0
Lucas Taylor, BRA,DF,Shakhtar,27,1995,3.5,7,2,5,2,0,2,6,33.3,4,4,1,3,3,10,15,0
Mavis Tchibota, CGO,FW,Maccabi Haifa,26,1996,1.0,2,2,0,1,1,1,5,20.0,4,0,0,0,0,2,0,0
Aurélien Tchouaméni, FRA,MF,Real Madrid,22,2000,4.8,10,7,4,5,1,5,5,100.0,0,5,0,5,7,17,3,0
Mathys Tel, FRA,FW,Bayern Munich,17,2005,1.6,1,1,1,0,0,1,1,100.0,0,5,0,5,3,4,0,0
Alex Telles, BRA,"DF,FW",Sevilla,29,1992,4.3,8,4,3,1,4,4,7,57.1,3,7,2,5,4,12,10,1
Marc-André ter Stegen, GER,GK,Barcelona,30,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Kévin Théophile-Catherine, FRA,DF,Dinamo Zagreb,32,1989,0.8,2,2,1,1,0,2,2,100.0,0,1,1,0,1,3,1,0
Malick Thiaw, GER,DF,Milan,20,2001,3.1,10,4,7,3,0,5,7,71.4,2,6,5,1,10,20,12,0
Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,1.9,2,0,0,2,0,0,1,0.0,1,3,1,2,2,4,10,0
Malik Tillman, USA,MF,Rangers,20,2002,2.7,10,5,3,4,3,6,9,66.7,3,2,0,2,3,13,4,0
Jurriën Timber, NED,DF,Ajax,21,2001,5.9,4,1,1,3,0,1,1,100.0,0,9,6,3,8,12,14,1
Fikayo Tomori, ENG,DF,Milan,24,1997,9.2,22,16,13,9,0,11,14,78.6,3,12,8,4,10,32,29,0
Sandro Tonali, ITA,MF,Milan,22,2000,11.7,19,13,7,11,1,9,19,47.4,10,11,3,8,4,23,10,0
Pablo Torre, ESP,"MF,FW",Barcelona,19,2003,1.1,2,2,0,2,0,0,0,,0,1,1,0,1,3,0,1
Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,2,2,0,0,2,1,2,50.0,1,0,0,0,0,2,1,0
Andriy Totovytskyi, UKR,MF,Shakhtar,29,1993,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Kevin Trapp, GER,GK,Eint Frankfurt,32,1990,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Francisco Trincão, POR,"MF,FW",Sporting CP,22,1999,4.3,5,4,1,4,0,2,4,50.0,2,3,0,3,2,7,3,0
Anatolii Trubin, UKR,GK,Shakhtar,20,2001,6.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,1
Kostas Tsimikas, GRE,DF,Liverpool,26,1996,3.8,5,3,1,4,0,2,3,66.7,1,5,3,2,2,7,6,0
David Turnbull, SCO,MF,Celtic,23,1999,1.1,1,0,1,0,0,0,2,0.0,2,2,1,1,0,1,0,0
Tuta, BRA,DF,Eint Frankfurt,23,1999,6.7,19,11,12,6,1,9,21,42.9,12,6,0,6,8,27,26,1
Marián Tvrdoň, SVK,GK,Viktoria Plzeň,27,1994,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Manuel Ugarte Ribeiro, URU,MF,Sporting CP,21,2001,5.2,29,17,10,18,1,7,14,50.0,7,8,0,8,13,42,8,1
Andreas Ulmer, AUT,DF,RB Salzburg,36,1985,4.2,7,1,2,3,2,3,9,33.3,6,3,0,3,4,11,13,0
Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Cengiz Ünder, TUR,MF,Marseille,25,1997,1.9,3,3,1,1,1,1,2,50.0,1,0,0,0,1,4,0,0
Dayot Upamecano, FRA,DF,Bayern Munich,23,1998,7.9,14,8,10,4,0,8,11,72.7,3,7,3,4,14,28,22,2
Mateus Uribe, COL,MF,Porto,31,1991,6.8,10,9,3,6,1,3,14,21.4,11,6,3,3,11,21,11,0
Enrique Valiente, ESP,DF,Sevilla,20,2002,2.0,5,3,4,1,0,4,4,100.0,0,4,1,3,1,6,3,0
Jesús Vallejo, ESP,DF,Real Madrid,25,1997,0.2,2,2,1,0,1,2,2,100.0,0,1,1,0,0,2,2,0
Federico Valverde, URU,"MF,FW",Real Madrid,24,1998,10.7,18,7,6,7,5,9,20,45.0,11,17,1,16,14,32,13,0
Virgil van Dijk, NED,DF,Liverpool,31,1991,8.0,4,2,3,1,0,1,4,25.0,3,4,4,0,4,8,22,0
Hans Vanaken, BEL,MF,Club Brugge,29,1992,7.8,5,3,2,2,1,2,5,40.0,3,10,2,8,4,9,11,0
Denis Vavro, SVK,DF,FC Copenhagen,26,1996,4.0,3,1,3,0,0,2,3,66.7,1,7,6,1,7,10,22,0
Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,4,1,1,3,0,0,4,0.0,4,1,0,1,3,7,4,0
Jordan Veretout, FRA,MF,Marseille,29,1993,5.4,16,9,5,10,1,6,9,66.7,3,4,1,3,2,18,5,0
Lucas Veríssimo, BRA,DF,Benfica,27,1995,0.1,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,1,0
Gabriel Veron, BRA,"MF,FW",Porto,19,2002,0.5,1,0,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0
Marco Verratti, ITA,MF,Paris S-G,29,1992,6.9,27,18,12,12,3,9,28,32.1,19,13,5,8,6,33,0,2
Vitinha, POR,MF,Paris S-G,22,2000,6.5,8,6,3,4,1,1,11,9.1,10,8,1,7,13,21,1,0
Odisseas Vlachodimos, GRE,GK,Benfica,28,1994,10.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,5,0
Dušan Vlahović, SRB,FW,Juventus,22,2000,4.6,1,1,0,1,0,0,2,0.0,2,2,1,1,0,1,4,0
Adam Vlkanova, CZE,MF,Viktoria Plzeň,27,1994,5.1,5,2,2,2,1,2,5,40.0,3,3,2,1,2,7,5,0
Stefan de Vrij, NED,DF,Inter,30,1992,3.3,10,4,9,1,0,4,5,80.0,1,6,4,2,4,14,21,0
Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,9,7,4,3,2,7,9,77.8,2,1,1,0,3,12,8,0
Paul Wanner, GER,"DF,FW",Bayern Munich,16,2005,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
Stephen Welsh, SCO,DF,Celtic,22,2000,1.0,0,0,0,0,0,0,0,,0,1,1,0,1,1,6,0
Wendell, BRA,DF,Porto,29,1993,1.6,3,1,2,1,0,1,3,33.3,2,2,0,2,1,4,3,0
Timo Werner, GER,FW,RB Leipzig,26,1996,5.6,2,0,1,1,0,0,5,0.0,5,3,0,3,0,2,3,1
Owen Wijndal, NED,DF,Ajax,22,1999,0.8,1,0,0,1,0,1,1,100.0,0,1,0,1,2,3,4,0
Josh Wilson-Esbrand, ENG,DF,Manchester City,19,2002,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
Axel Witsel, BEL,"DF,MF",Atlético Madrid,33,1989,5.1,6,3,4,2,0,3,6,50.0,3,10,9,1,3,9,8,0
Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,1.8,9,6,6,2,1,3,5,60.0,2,3,1,2,0,9,5,0
Marius Wolf, GER,DF,Dortmund,27,1995,2.0,3,3,1,1,1,2,4,50.0,2,3,0,3,2,5,6,0
Scott Wright, SCO,"FW,MF",Rangers,24,1997,1.5,3,1,1,1,1,1,2,50.0,1,0,0,0,1,4,2,0
Roman Yaremchuk, UKR,FW,Club Brugge,26,1995,1.2,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0
Rıdvan Yılmaz, TUR,DF,Rangers,21,2001,1.0,1,0,1,0,0,0,2,0.0,2,0,0,0,3,4,2,0
Warren Zaire-Emery, FRA,MF,Paris S-G,16,2006,0.9,2,2,1,1,0,2,5,40.0,3,0,0,0,0,2,0,0
Denis Zakaria, SUI,MF,Chelsea,25,1996,0.8,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,1,0
Andre-Frank Zambo Anguissa, CMR,MF,Napoli,26,1995,7.2,14,8,4,5,5,4,8,50.0,4,5,1,4,14,28,5,0
Alessandro Zanoli, ITA,DF,Napoli,21,2000,0.1,2,2,2,0,0,1,1,100.0,0,0,0,0,1,3,0,0
Zeca, GRE,MF,FC Copenhagen,33,1988,1.8,4,0,2,2,0,2,6,33.3,4,7,1,6,3,7,2,0
Alessio Zerbin, ITA,FW,Napoli,23,1999,0.6,2,1,0,1,1,0,1,0.0,1,4,1,3,0,2,0,0
Piotr Zieliński, POL,MF,Napoli,28,1994,6.9,8,4,0,6,2,0,2,0.0,2,3,0,3,4,12,4,1
Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,1.6,0,0,0,0,0,0,4,0.0,4,6,1,5,2,2,0,0
Oleksandr Zubkov, UKR,"FW,MF",Shakhtar,25,1996,4.1,7,4,4,2,1,0,2,0.0,2,4,0,4,4,11,3,0
Neven Đurasek, CRO,MF,Shakhtar,23,1998,1.0,1,0,0,0,1,0,0,,0,1,1,0,4,5,2,0
